filename,x,y,cluster,method,stat
AllFields_Resultats_MESH_161.npz,-4.4820166,-5.2529135,0,tsne,mean
AllFields_Resultats_MESH_185.npz,-11.423733,-3.6927242,2,tsne,mean
AllFields_Resultats_MESH_186-2.npz,-10.957186,-4.936495,2,tsne,mean
AllFields_Resultats_MESH_128.npz,5.1397605,-3.1922824,14,tsne,mean
AllFields_Resultats_MESH_187.npz,0.91477776,-6.697305,1,tsne,mean
AllFields_Resultats_MESH_138.npz,0.70549417,-3.6221,1,tsne,mean
AllFields_Resultats_MESH_54-2.npz,1.0156894,-4.894294,1,tsne,mean
AllFields_Resultats_MESH_193-2.npz,-2.0053709,-4.298269,9,tsne,mean
AllFields_Resultats_MESH_182-1.npz,-9.85306,-4.4534464,2,tsne,mean
AllFields_Resultats_MESH_195.npz,-10.13459,-4.692371,2,tsne,mean
AllFields_Resultats_MESH_1.npz,-3.533244,-6.8128715,6,tsne,mean
AllFields_Resultats_MESH_193-1.npz,2.969926,-3.6206284,5,tsne,mean
AllFields_Resultats_MESH_31.npz,1.520631,-3.9095137,1,tsne,mean
AllFields_Resultats_MESH_163-2.npz,-6.5756145,-5.843424,12,tsne,mean
AllFields_Resultats_MESH_11.npz,4.8541546,-4.231331,14,tsne,mean
AllFields_Resultats_MESH_202.npz,-4.910489,-4.005433,0,tsne,mean
AllFields_Resultats_MESH_55.npz,0.91579217,-3.9322622,1,tsne,mean
AllFields_Resultats_MESH_205.npz,-8.546236,-4.631096,8,tsne,mean
AllFields_Resultats_MESH_19.npz,-7.6688223,-6.108598,3,tsne,mean
AllFields_Resultats_MESH_188.npz,-8.944818,-2.8177783,8,tsne,mean
AllFields_Resultats_MESH_142.npz,-5.366817,-7.2361465,10,tsne,mean
AllFields_Resultats_MESH_135.npz,-4.863451,-7.1793566,10,tsne,mean
AllFields_Resultats_MESH_208.npz,2.4606736,-2.743199,5,tsne,mean
AllFields_Resultats_MESH_168-2.npz,-7.0375996,-6.3288994,12,tsne,mean
AllFields_Resultats_MESH_120.npz,4.184153,-3.1807923,14,tsne,mean
AllFields_Resultats_MESH_23.npz,-5.4464507,-4.6983156,0,tsne,mean
AllFields_Resultats_MESH_167.npz,-3.1522145,-2.7396393,13,tsne,mean
AllFields_Resultats_MESH_160.npz,-0.80322206,-4.0768294,9,tsne,mean
AllFields_Resultats_MESH_151.npz,3.238249,-1.933291,5,tsne,mean
