filename,x,y,cluster,method,stat
AllFields_Resultats_MESH_128.npz,2.792329,2.1177433,6,tsne,std
AllFields_Resultats_MESH_195.npz,-5.4872036,-7.2444515,1,tsne,std
AllFields_Resultats_MESH_215.npz,-0.002519894,-5.2944427,14,tsne,std
AllFields_Resultats_MESH_138.npz,-1.3201082,-6.1516185,3,tsne,std
AllFields_Resultats_MESH_142.npz,3.906451,-1.9646493,4,tsne,std
AllFields_Resultats_MESH_160.npz,-0.81742436,-4.079393,14,tsne,std
AllFields_Resultats_MESH_182-1.npz,3.3547952,-5.040028,10,tsne,std
AllFields_Resultats_MESH_119-2.npz,-0.04508592,-6.9827504,3,tsne,std
AllFields_Resultats_MESH_211.npz,1.0723078,-6.1603565,10,tsne,std
AllFields_Resultats_MESH_140.npz,0.9549393,3.7135873,2,tsne,std
AllFields_Resultats_MESH_168-2.npz,0.3836192,-7.151323,3,tsne,std
AllFields_Resultats_MESH_183.npz,2.8245294,4.007545,6,tsne,std
AllFields_Resultats_MESH_42-1.npz,2.7544787,1.2590414,6,tsne,std
AllFields_Resultats_MESH_129.npz,-3.9308276,-6.4329324,8,tsne,std
AllFields_Resultats_MESH_42-3.npz,-0.016978797,-0.019765966,0,tsne,std
AllFields_Resultats_MESH_178.npz,-6.51427,-4.6560187,11,tsne,std
AllFields_Resultats_MESH_173.npz,-3.5635242,0.029713634,13,tsne,std
AllFields_Resultats_MESH_121.npz,-0.8904488,-7.1129627,3,tsne,std
AllFields_Resultats_MESH_42-2.npz,-0.60783315,1.0605018,9,tsne,std
AllFields_Resultats_MESH_172.npz,0.7154383,3.261006,2,tsne,std
AllFields_Resultats_MESH_196-2.npz,2.532747,-1.9442803,7,tsne,std
AllFields_Resultats_MESH_153.npz,-1.9884595,-1.8089762,5,tsne,std
AllFields_Resultats_MESH_120.npz,0.87978363,1.7462889,6,tsne,std
AllFields_Resultats_MESH_180.npz,-6.0431747,-6.920341,1,tsne,std
AllFields_Resultats_MESH_1.npz,-5.453311,-5.404552,11,tsne,std
AllFields_Resultats_MESH_159.npz,-2.410895,-6.5674944,8,tsne,std
