filename,x,y,cluster,method,stat
AllFields_Resultats_MESH_215.npz,-0.15846825,0.120550275,2,pca,max
AllFields_Resultats_MESH_138.npz,-0.14272308,0.35493267,12,pca,max
AllFields_Resultats_MESH_142.npz,-1.0789995,-0.077506304,0,pca,max
AllFields_Resultats_MESH_160.npz,0.44036198,0.9063835,9,pca,max
AllFields_Resultats_MESH_182-1.npz,-0.47738934,-0.45371234,3,pca,max
AllFields_Resultats_MESH_119-2.npz,-0.44784737,0.1093806,2,pca,max
AllFields_Resultats_MESH_211.npz,-0.30504227,0.25746608,2,pca,max
AllFields_Resultats_MESH_140.npz,0.5396166,-0.4850663,10,pca,max
AllFields_Resultats_MESH_168-2.npz,-0.85325336,0.27946317,0,pca,max
AllFields_Resultats_MESH_183.npz,-0.20861721,0.017322302,2,pca,max
AllFields_Resultats_MESH_42-1.npz,-0.49683475,-0.34840906,3,pca,max
AllFields_Resultats_MESH_129.npz,0.36728954,-0.7439736,8,pca,max
AllFields_Resultats_MESH_42-3.npz,0.06169796,0.39521503,12,pca,max
AllFields_Resultats_MESH_178.npz,0.491086,-0.36834013,10,pca,max
AllFields_Resultats_MESH_173.npz,0.39802933,-0.43225062,10,pca,max
AllFields_Resultats_MESH_121.npz,-0.63057804,0.13850272,0,pca,max
AllFields_Resultats_MESH_42-2.npz,0.34283447,-0.15464664,6,pca,max
AllFields_Resultats_MESH_172.npz,-0.7104454,-0.46859658,3,pca,max
AllFields_Resultats_MESH_196-2.npz,0.017086029,0.35945106,12,pca,max
AllFields_Resultats_MESH_153.npz,-0.17249298,0.21826446,2,pca,max
AllFields_Resultats_MESH_120.npz,0.66504,0.39033115,4,pca,max
AllFields_Resultats_MESH_180.npz,0.094343185,-0.41514266,13,pca,max
AllFields_Resultats_MESH_1.npz,0.18212986,-0.14144027,6,pca,max
AllFields_Resultats_MESH_159.npz,0.41381454,-0.48137796,10,pca,max
