filename,x,y,cluster,method,stat
AllFields_Resultats_MESH_186-1.npz,1.0971199,-2.8573241,10,tsne,mean
AllFields_Resultats_MESH_171.npz,2.4958184,-5.3706937,14,tsne,mean
AllFields_Resultats_MESH_31.npz,-5.3476334,0.1798065,5,tsne,mean
AllFields_Resultats_MESH_128.npz,-5.8520393,-4.9331455,3,tsne,mean
AllFields_Resultats_MESH_195.npz,0.81782514,-0.114652455,4,tsne,mean
AllFields_Resultats_MESH_215.npz,-4.236458,4.4047117,6,tsne,mean
AllFields_Resultats_MESH_138.npz,-3.953682,-3.5479,12,tsne,mean
AllFields_Resultats_MESH_142.npz,-2.753137,2.887951,1,tsne,mean
AllFields_Resultats_MESH_160.npz,-5.976993,3.4032056,13,tsne,mean
AllFields_Resultats_MESH_182-1.npz,2.3499055,-7.664241,2,tsne,mean
AllFields_Resultats_MESH_119-2.npz,0.56800044,0.8244734,7,tsne,mean
AllFields_Resultats_MESH_211.npz,1.8439181,2.2016954,7,tsne,mean
AllFields_Resultats_MESH_140.npz,-0.6892452,-8.00951,9,tsne,mean
AllFields_Resultats_MESH_168-2.npz,-5.5900207,4.115687,6,tsne,mean
AllFields_Resultats_MESH_183.npz,-2.090883,4.7316227,1,tsne,mean
AllFields_Resultats_MESH_42-1.npz,-2.2021854,-3.0959387,12,tsne,mean
AllFields_Resultats_MESH_129.npz,-1.7372277,-1.3224295,4,tsne,mean
AllFields_Resultats_MESH_42-3.npz,-2.038692,-4.2313952,12,tsne,mean
AllFields_Resultats_MESH_178.npz,1.8958462,-7.8703184,2,tsne,mean
AllFields_Resultats_MESH_173.npz,-2.453633,4.810119,1,tsne,mean
AllFields_Resultats_MESH_121.npz,-3.8806543,1.4395003,5,tsne,mean
AllFields_Resultats_MESH_42-2.npz,-3.0916715,-6.5452375,9,tsne,mean
AllFields_Resultats_MESH_172.npz,-5.6105843,-5.3034286,3,tsne,mean
AllFields_Resultats_MESH_196-2.npz,-6.238178,1.7386713,13,tsne,mean
AllFields_Resultats_MESH_153.npz,-5.044165,2.4318936,13,tsne,mean
AllFields_Resultats_MESH_120.npz,-2.1750324,-6.7950253,9,tsne,mean
AllFields_Resultats_MESH_180.npz,1.5792449,1.9118639,7,tsne,mean
AllFields_Resultats_MESH_1.npz,-5.3387613,-0.3086581,5,tsne,mean
AllFields_Resultats_MESH_159.npz,-3.6493626,0.08665361,5,tsne,mean
