filename,x,y,cluster,method,stat
AllFields_Resultats_MESH_195.npz,-0.50791854,-1.4465423,11,tsne,min
AllFields_Resultats_MESH_215.npz,-1.3578403,1.6110436,1,tsne,min
AllFields_Resultats_MESH_138.npz,4.7317734,4.267384,0,tsne,min
AllFields_Resultats_MESH_142.npz,4.6258373,1.1122109,6,tsne,min
AllFields_Resultats_MESH_160.npz,1.3095938,4.054655,4,tsne,min
AllFields_Resultats_MESH_182-1.npz,-3.2763224,0.73484313,3,tsne,min
AllFields_Resultats_MESH_119-2.npz,-1.3688865,0.8962452,1,tsne,min
AllFields_Resultats_MESH_211.npz,-2.1241019,-0.81425375,11,tsne,min
AllFields_Resultats_MESH_140.npz,3.567954,2.5499227,0,tsne,min
AllFields_Resultats_MESH_168-2.npz,-0.15411223,3.2449152,9,tsne,min
AllFields_Resultats_MESH_183.npz,-2.1487725,0.4411364,3,tsne,min
AllFields_Resultats_MESH_42-1.npz,6.2203984,2.7937796,13,tsne,min
AllFields_Resultats_MESH_129.npz,2.9382234,-2.3990674,14,tsne,min
AllFields_Resultats_MESH_42-3.npz,-2.7063165,4.375304,12,tsne,min
AllFields_Resultats_MESH_178.npz,-2.0481455,-2.2486324,11,tsne,min
AllFields_Resultats_MESH_173.npz,-4.0892224,-0.7238064,3,tsne,min
AllFields_Resultats_MESH_121.npz,0.53045714,3.066609,9,tsne,min
AllFields_Resultats_MESH_42-2.npz,2.6676989,-3.649109,2,tsne,min
AllFields_Resultats_MESH_172.npz,8.217714,2.4318185,13,tsne,min
AllFields_Resultats_MESH_196-2.npz,-0.99807453,0.3066094,1,tsne,min
AllFields_Resultats_MESH_153.npz,6.54919,3.202407,13,tsne,min
AllFields_Resultats_MESH_120.npz,0.015362953,0.9642,1,tsne,min
AllFields_Resultats_MESH_180.npz,-0.6408261,-0.5562838,11,tsne,min
AllFields_Resultats_MESH_1.npz,4.9953165,-0.39837632,5,tsne,min
AllFields_Resultats_MESH_159.npz,3.4165874,-3.3704233,2,tsne,min
